Designator(s),QTY,Value,Manufacturer,Manufacturer P/N,Vendor,Vendor P/N
C1,1,0.01u_50V,Yageo,CC0603KRX7R9BB103,Digi-Key,311-1085-1-ND
C2,1,0.1u_50V,Yageo,CC0603KRX7R7BB104,Digi-Key,311-1088-1-ND
C3,1,1.0u_50V,Yageo,CC0603KRX7R7BB105,Digi-Key,311-1446-1-ND
"J1, J2, J3",3,CONN_01x02,Harwin,M20-9990245,Digi-Key,952-2261-ND
"D1, D2, D3",3,5V,Littelfuse,SMF5.0A,Digi-Key,F5748CT-ND
D4,1,GRN,Rohm Semiconductor,SML-D12M8WT86,Digi-Key,511-1578-1-ND
U1,1,LMV321,STMicroelectronics,LMV321ILT,Digi-Key,497-4941-1-ND
"RV1, RV2",2,10k,Bourns,3339H-1-103LF,Digi-Key,3339H-103LF-ND
R1,1,6.65k,Yageo,RC0603FR-076K65L,Digi-Key,311-6.65KHRCT-ND
R2,1,49.9,Yageo,RC0603FR-0749R9L,Digi-Key,311-49.9HRCT-ND
R3,1,330,Yageo,RC0603FR-07330RL,Digi-Key,311-330HRCT-ND
